name,prompt,negative_prompt
FLUX: Upscale,"Enhance the image quality and add more detail to the materials and textures, ensuring a natural appearance. Focus on: Natural material details: Bring out the subtle textures and depth of fabrics, surfaces, and objects. Realistic texture details: Increase the clarity and definition of textures like wood, stone, or skin, maintaining their natural appearance. High-quality upscaling to preserve the image's integrity and natural look. Maintain the original aesthetic and style. {prompt} .",
FLUX: Upscale Portrait,"model portrait. realistic skin style . Extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike In an incredibly amazing image of exceptional artistry, hyperrealism, realism, unrealengine, realistic, detailed skin pore, film still, still photography style, sharp style, detailed style, perfect style, perfection style, Kodak film skin color tone style, fujifilm skin tone color style, professional photography style, skin textured, skin texture style, perfect face, perfect mouth, perfect nose, perfect lips, perfect eyes, perfect ears, perfect skin, perfect skin pores, perfect body, perfect hair, very detailed skin pores, perfect skin texture style {prompt} .",
FLUX: Portrait Studio,"Natural portrait model. A full figure artistic portrait of a {prompt} . Captured in a studio with a simple background. The individual is posing in the center of the frame. The lighting is dramatic, with a bright spotlight on the individual and soft shadows. The background is dark, creating a perfect silhouette. The image has a soft shadow study art school aesthetic. uhd-16k, 8k, 4k, hyper realistic, texture surface details . 35mm f1.8 Macro, chiaroscuro, vignette, Mise-en-scene, detailed, cinemascope, moody, epic",
FLUX: Portrait Photo 1,"{prompt} . model portrait. very realistic, cinematic, award winning photo In an incredibly amazing image of exceptional artistry.",
FLUX: Portrait Photo 2,"{prompt} . model portrait. cinematic style of Philip Lorca diCorcia. In an incredibly amazing image of exceptional artistry. RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic cinematic realism film scene still of a photo focus on . portrait, film, professional, highly detailed, absurdres, detailed, macro details, uhd-16k, 8k, 4k, hyper realistic, texture surface details . 35mm f1.8 Macro, chiaroscuro, vignette, Mise-en-scene, detailed, cinemascope, moody, epic",
FLUX: Portrait Simple,"{prompt} . natural portrait model portrait. A photo of a full figure artistic portrait of an individual with a classical beauty face. Visible in a natural pose. The background is a wall with a texture. The lighting is soft. The overall image is inspired by the compositions of old master paintings. The lighting is soft. uhd-16k, 8k, 4k, hyper realistic, texture surface details . 35mm f1.8 Macro, chiaroscuro, shallow depth of field, vignette, Mise-en-scene, detailed, cinemascope, moody, epic, 16mm, color graded portra 400 film, remarkable color, professional",
F-Natural-Sandner,"Detailed description for the naturalistic and award-winning photo: Subject: The main focus of this captivating photograph is a {prompt} . Lighting: The photo is illuminated by natural light, bathes the scene in warm, golden tones, providing a serene candid moment captured by the lens. The soft, diffused sunlight accentuates the textures materials and surfaces, creating a flattering glow on reflective parts.  Composition: The photographer has expertly framed the subject within the frame, using the negative space to emphasize the subject's presence, adding depth to the setting without overpowering the subject. The main subject  is positioned slightly off-center, allowing for a more dynamic composition that draws the viewer's eye naturally towards the storytelling of the composition. Setting: The scene unfolds in a tranquil, poignant manner. The crisp documentary analog shot, achieved through the shallow depth of field created by the 55mm f/1.8 lens, effectively isolates the subject and contributes to an intimate atmosphere.  Depth of Field: With the aperture set at f/1.8, a significant portion of the scene is very sharp, emphasizing the subject by a compositions, where all artistic elements interacts with each other. The woman's face, hair, and upper body are in crisp focus, while the background – including the lawn, trees, and distant objects – recedes into soft, creamy blur, thereby drawing attention to her candid expression.Leica-like Aesthetic: Although shot on a DSLR camera, this photograph shares characteristics reminiscent of Leica's distinctive aesthetic. The vibrant colors and sharp details bring the scene to life, creating an enduring visual memory for the viewer. The classic feel of the image is further enhanced by the natural lighting and the subject's unposed demeanor.  Candid Photography: This spontaneous moment captures the essence of candid photography, where a fleeting expression or action is frozen in time. The photographer has successfully preserved the substance and joy of humanity, rendering an authentic portrayal that transcends the ordinary.",
F-Night-Sandner,"Detailed description for the naturalistic and award-winning night photo, presents a poignant and intimate moment, captured with masterful precision: Subject: The main focus of this captivating nightly photograph is a {prompt} . Subtle illumination not only sets the mood but also accentuates the textures and contours of the subject, materials surfaces and fabrics texture. This naturalistic photograph, captured on a DSLR camera with a 55mm f/1.8 lens, presents an intimate and candid portrayal of the human experience.   The dimly lit atmosphere is palpable, as if time itself has slowed down to savor the quietude of this nocturnal moment.  The composition is masterfully arranged, with the subject positioned slightly off the center of the frame,  illuminated by the warm, golden night light spilling.  The use of a wide aperture (f/1.8) results in an exquisite professional documentary quality, drawing the viewer's attention to the subject's contemplative expression.  The RAW file capture ensures that every detail, from the subtlest crease on the subject's clothing to the intricate patterns etched into the brick walls, is preserved with breathtaking fidelity. The image exudes a sense of realism, as if the viewer has stumbled upon this fleeting moment by chance.  Shot in a candid moment, the photograph transcends the mundane, elevating the scene to an almost poetic level. The absence of overexposition allows the textures, forms, and tonalities to take center stage, imbuing the image with a timeless quality that resonates deeply with the viewer.  This candid image, born from the intersection of serendipity and creative vision, is a testament to the power of photography to capture the essence of the human experience. As we gaze upon the subject's introspective, we are reminded that even in the most ordinary moments, there lies a profound beauty waiting to be discovered. The captivating photo masterfully weaves together elements of setting, lighting, composition, and candid photography. Midnight's  dim contrast to the serene invites viewers to step into the world of its subject, immersing them in an atmosphere of contemplation and quiet reflection.",
F-Medium-Sandner,"{prompt} . Shot with a deep depth of field, the background is crisp,  features are sharp, evoking the style of film director Terrence Malick. The image is captured with a Canon EOS 90D, featuring a film grain and subtle color grading that enhances the earthy tones , embracing surroundings, in a medium shot with an eye-level angle, reminiscent of a cinematic still. Soft, warm light pours in, casting a gentle glow on. Rule of thirds,  eye-level shot,  straight angle,  soft lighting,  (muted colors,  dim colors,  soothing tones:1.3),  low saturation,  (hyperdetailed:1.2),  Square color palette, off centered subject,  medium shot,  eye-level angle,  anamorphic lens flare,  neoclassicism,  dynamic angle,  hyperrealistic ",""
F-Dim-Sandner,"In a dimly lit, ambient setting, reminiscent of an artistic collaboration, award-winning night photo of {prompt} . The lighting is moody, with a single, softbox key light source, positioned at a 45-degree angle, casting a warm hue glow on the subject, while the rest of the scene is bathed in cool, blue hues, creating a sense of contrast and depth, characteristic of a cinematic style inspired by the works of , with a film grain texture and a muted color grading, adding to the overall sense of grittiness and realism, as if the scene was plucked straight from a documentary photography shoot. The air is thick with tension, the atmosphere heavy with the weight of emotions. ",""
