name,prompt,negative_prompt
,,
photostyle-01,"8k uhd, high quality,  film grain, looking at viewer, portrait, (skin pores:1.2), (moles:0.8), (imperfect skin:1.1), intricate details, goosebumps, flawless face, ((photorealistic):1.1), (raw, 8k:1.2), hyper realistic, HDR, cinematic, dark, muted colors, atmosphere, ((macro lens))
",FastNegativeV2 bad-image-v2-39000
photostyle-loras-01,"RAW analog 3/4 photo portrait, Photorealistic, Hyperrealistic, Hyperdetailed, detailed skin, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus, rimlight  <lora:more_details:1.75>   , dusk urban underground  <lora:entropy-alpha:0.085> <lora:last:0.25> ",
photostyle-02,"RAW analog Photorealistic, Hyperrealistic, Hyperdetailed, detailed skin, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus, rimlight",
photostyle-03,"a highly realistic photo,  realistic, natural lighting, post-processing, ultra realistic, highly detailed, very detailed, cinematic, hyper realistic, intricate scenery, sharp, photo by Annie Leibovitz, film, studio lighting, detailed skin, ultra realistic, bokeh, sharp features","text, 3d, description, lowres, error, cropped, worst quality, low quality, jpeg artifacts, out of frame, watermark, signature, deformed, ugly, mutilated, disfigured, badhandv4, distorted, extra limbs, extra fingers, extra arms, missing fingers, missing arms, fused fingers, bad hands, mutation, cropped head, ugly eyes, cross-eyed, malformed limbs, mutated hands, blurry, lacklustre, oversaturated, dravidian, mongolian, japanese, korean, chinese,
"
3D-face-01,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,perfect face,detailed face,beautiful eyes,pretty face,(bright skin:1.3),(simple background),(depth of field)",
3D-general-01,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,(simple background),(depth of field)",
3D-general-02,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,(simple background),(depth of field) dark theme, low key, soothing tones, muted colors, high contrast",
3D-general-neg-01,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,(simple background),(depth of field) dark theme, low key, soothing tones, muted colors, high contrast","orange, oversaturated, faint, faded, grayscale, black and white, b&w, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation
"
photo-closeup-01,"epic realistic, faded, neutral colors, (dark shot:1.4), 80mm, (closeup:0.5), moles skin, soft light, sharp, exposure blend, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4)","orange, oversaturated, faint, faded, grayscale, black and white, b&w, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation
"
