name,prompt,negative_prompt
photostyle-01,"8k uhd, high quality,  film grain, looking at viewer, portrait, (skin pores:1.2), (moles:0.8), (imperfect skin:1.1), intricate details, goosebumps, flawless face, ((photorealistic):1.1), (raw, 8k:1.2), hyper realistic, HDR, cinematic, dark, muted colors, atmosphere, ((macro lens))
",FastNegativeV2 bad-image-v2-39000
photostyle-02,"RAW analog Photorealistic, Hyperrealistic, Hyperdetailed, detailed skin, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus, rimlight",
photostyle-03,"a highly realistic photo,  realistic, natural lighting, post-processing, ultra realistic, highly detailed, very detailed, cinematic, hyper realistic, intricate scenery, sharp, photo by Annie Leibovitz, film, studio lighting, detailed skin, ultra realistic, bokeh, sharp features","text, 3d, description, lowres, error, cropped, worst quality, low quality, jpeg artifacts, out of frame, watermark, signature, deformed, ugly, mutilated, disfigured, badhandv4, distorted, extra limbs, extra fingers, extra arms, missing fingers, missing arms, fused fingers, bad hands, mutation, cropped head, ugly eyes, cross-eyed, malformed limbs, mutated hands, blurry, lacklustre, oversaturated, dravidian, mongolian, japanese, korean, chinese,
"
photo-muted-01,"epic realistic, faded, neutral colors, (dark shot:1.4), 80mm, moles skin, soft light, sharp, exposure blend, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4)","orange, oversaturated, faint, faded, grayscale, black and white, b&w, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation
"
photo-bw-analog-neg-01,"  (portrait:1.2), commoner style, analog, Leica black and white, greyscale, by Lee Jeffries, details, raw photo, kodak, film grain","(doll:1.2), (cgi:0.9), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, 3d, illustration, cartoon
"
vintage-01,"happy woman,realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, absurdres, high detail, simple plain color background, masterpiece
",
vintage-01-neg,"realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, absurdres, high detail, simple plain color background, masterpiece
"," bad anatomy, wrong anatomy, "
vintage-02-neg,"realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, shot with cinematic camera, detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering, absurdres, high detail, simple plain color background, masterpiece
"," bad anatomy, wrong anatomy, 3d, cartoon, (low quality:1.5),  duplicate, multiple, disfigured, old, ugly,, canvas frame, (over saturated:1.2), (glossy:1.1), cartoon, 3d, ((disfigured)), ((bad art)), ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, 3d render
"
vintage-portrait,"realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, absurdres, high detail, simple plain color background, masterpiece, (textured skin, skin pores:1.2), (moles:0.6), (imperfect skin:1.1), intricate details, goosebumps, flawless face, (light freckles:0.3), ((photorealistic):1.1), (raw, 8k:1.2), dark, muted colors, slate atmosphere, RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, (dry skin:0.6), shot with cinematic camera, detailed skin texture, (blush:0.4), (goosebumps:0.5), subsurface scattering
"," bad anatomy, wrong anatomy"
fullbody-neg,"((Full-Body Shot)), (textured skin, skin pores:1.2), (moles:0.8), (imperfect skin:1.1), intricate details, goosebumps, flawless face, (light freckles:0.9), ((photorealistic):1.1), (raw, 8k:1.2), dark, muted colors, slate atmosphere, RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera, detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering","3d, cartoon, (low quality:1.5),  duplicate, multiple, disfigured, old, ugly,, canvas frame, (over saturated:1.2), (glossy:1.1), cartoon, 3d, ((disfigured)), ((bad art)), ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, 3d render
"
